BLOCKER · v1.0 · build · Launch-screen entry in Info.plist	K-001 · The app declares no launch screen, and Xcode refuses to upload a build to TestFlight without one. Nothing ships until this exists. Info.plist
BLOCKER · v1.0 · build · Diagnostics off by default	K-002 · Developer logging is still switched on, including a log written into iCloud. A public build has to be quiet by default; only the small footer readout is meant to survive. CurlDebug.verbose
v1.0 · ingest · Duplicate detection on the folder path	K-003 · WIRE — Add a book you already own but have since edited, and you get a second copy on the shelf instead of a match. The code that spots this is written and finished; nothing calls it. §5.2. See also K-025
v1.2 · sync · Sidecars are never written	K-004 · WIRE — Your highlights, notes and place are meant to be written beside each book as a small companion file, so they travel with the book and survive a reinstall. The writer is finished and never runs. §9.1 Clause 2
v1.1 · share · Annotation export has no access point	K-005 · WIRE — There is no way to get your highlights and notes out of a book. The exporter is built; it has no button anywhere. §5.3
v1.2 · sync · Recently Active Books stack unused	K-006 · WIRE — A list of the books you have had open recently exists in the code and appears nowhere in the app. §7.1
v1.2 · ingest · OPDS is an island	K-007 · WIRE — Codex can talk to an online book catalogue — browse it, search it, download from it — but nothing in the app opens that door. The whole client is built and unreachable. §2.1–2.4. Its screen is K-043
v1.0 · shelf · Search — shelf and in-book	K-008 · You cannot search anywhere in Codex: not for a book on the shelf, not for a word inside the book you are reading. The largest single absence. §8.4
v1.0 · shelf · Empty-state buttons do nothing	K-009 · The screen you see when you have no books has two buttons that do nothing when tapped. It is the first thing a new reader meets. §12. Same defect as K-030
v1.0 · overall · Reading events (ReadingEventStore)	K-010 · Nothing records when you read or for how long, so the app can never show you a reading history. This one cannot be added later — every day that passes without it is a day that can never be reconstructed. §12.1 / OWED O0. Feeds K-047
v1.0 · render · Margins, gutter, justification	K-011 · You cannot change the page margins, the gap between the two pages, or whether the text is justified. The settings panel exists; these three never moved into it. §2.3
v1.0 · render · Accessibility pass	K-012 · Codex has never been tested with VoiceOver or with large system text. Whatever works today works by accident. §6
v1.0 · render · Dark mode design pass	K-013 · Reading at night works, but was never designed — the frame, the board and the ornaments are placeholders in the dark. Gate 2
v1.0 · render · Run on iPhone once	K-014 · Codex builds for iPhone and has never once been launched on one. Gate 5
